spot	Interneuron	Neuroblast	Mitral/Tufted Cells	Astrocytes	Olfactory Ensheathing cells	Pia	Oligodendrocytes	Microglia	Endothelial cells
200_600	1	0	0	0	0	0	0	0	0
200_1000	1	0	0	0	0	0	0	0	1
200_1400	2	0	0	0	3	0	0	0	2
600_200	0	0	0	2	0	0	0	0	1
600_600	1	0	4	1	0	0	0	0	1
600_1000	20	6	2	0	0	0	0	0	5
600_1400	11	0	0	1	12	0	0	0	2
600_1800	0	0	0	0	4	0	0	0	1
1000_600	2	0	1	1	0	0	0	0	1
1000_1000	9	2	1	3	0	0	0	0	1
1000_1400	1	0	0	0	7	0	0	0	0
1000_1800	0	0	0	1	2	0	0	0	0
1400_200	0	0	0	1	0	0	0	0	0
1400_600	2	1	1	0	0	0	0	0	1
1400_1000	17	0	3	5	0	0	0	1	1
1400_1400	7	0	0	3	9	0	0	0	0
1400_1800	0	0	0	0	5	0	0	0	0
1800_200	0	0	2	0	0	0	0	1	0
1800_600	0	1	0	1	0	0	0	0	1
1800_1000	2	2	1	1	0	0	0	0	1
1800_1400	1	0	0	0	1	0	0	0	0
1800_1800	0	0	0	0	3	0	0	0	0
