cell	bio_celltype
cell1	Astrocytes
cell2	Interneuron
cell3	Interneuron
cell4	Neuroblast
cell5	Interneuron
cell6	Oligodendrocytes
cell7	Interneuron
cell8	Astrocytes
cell9	Mitral/Tufted Cells
cell10	Neuroblast
cell11	Mitral/Tufted Cells
cell12	Astrocytes
cell13	Astrocytes
cell14	Interneuron
cell15	Interneuron
cell16	Neuroblast
cell17	Neuroblast
cell18	Endothelial cells
cell19	Mitral/Tufted Cells
cell20	Astrocytes
cell21	Mitral/Tufted Cells
cell22	Interneuron
cell23	Mitral/Tufted Cells
cell24	Astrocytes
cell25	Interneuron
cell26	Interneuron
cell27	Endothelial cells
cell28	Endothelial cells
cell29	Olfactory Ensheathing cells
cell30	Interneuron
cell33	Olfactory Ensheathing cells
cell34	Astrocytes
cell36	Astrocytes
cell37	Olfactory Ensheathing cells
cell38	Microglia
cell39	Pia
cell40	Pia
cell41	Pia
cell42	Pia
cell43	Pia
cell44	Microglia
cell45	Pia
cell46	Pia
cell47	Pia
cell48	Pia
cell49	Pia
cell51	Pia
cell52	Pia
cell53	Pia
cell54	Pia
cell55	Pia
cell56	Olfactory Ensheathing cells
cell57	Pia
cell58	Endothelial cells
cell59	Pia
cell61	Olfactory Ensheathing cells
cell62	Olfactory Ensheathing cells
cell64	Endothelial cells
cell65	Olfactory Ensheathing cells
cell66	Olfactory Ensheathing cells
cell67	Oligodendrocytes
cell68	Interneuron
cell69	Interneuron
cell70	Neuroblast
cell71	Astrocytes
cell72	Interneuron
cell73	Astrocytes
cell74	Interneuron
cell75	Endothelial cells
cell76	Interneuron
cell77	Astrocytes
cell78	Interneuron
cell79	Neuroblast
cell80	Neuroblast
cell81	Neuroblast
cell82	Endothelial cells
cell83	Interneuron
cell84	Interneuron
cell85	Astrocytes
cell86	Interneuron
cell87	Interneuron
cell88	Endothelial cells
cell89	Olfactory Ensheathing cells
cell90	Interneuron
cell91	Interneuron
cell92	Astrocytes
cell93	Astrocytes
cell94	Interneuron
cell95	Olfactory Ensheathing cells
cell99	Olfactory Ensheathing cells
cell100	Olfactory Ensheathing cells
cell101	Olfactory Ensheathing cells
cell102	Olfactory Ensheathing cells
cell103	Astrocytes
cell105	Olfactory Ensheathing cells
cell107	Olfactory Ensheathing cells
