sample_name	bio_celltype
F2S4_150430_003_E01	L5 PT CTX
F2S4_150422_002_A01	L5 PT CTX
F2S4_150422_002_B01	L5 PT CTX
F2S4_150422_002_C01	L5 IT CTX
F2S4_150422_002_D01	L5 PT CTX
F2S4_150422_002_E01	L5 IT CTX
F2S4_150422_002_F01	L5 IT CTX
F2S4_150422_002_G01	L5 IT CTX
F2S4_150422_002_H01	L5 IT CTX
F2S4_150427_001_A01	L5 IT CTX
F2S4_150427_001_B01	L5 IT CTX
F2S4_150427_001_C01	L4/5 IT CTX
F2S4_150427_001_D01	L5 PT CTX
F2S4_150427_001_E01	L5 PT CTX
F2S4_150427_001_F01	L5 IT CTX
F2S4_150427_001_G01	L5 IT CTX
F2S4_150427_001_H01	L5 PT CTX
F2S4_150428_001_A01	L5 PT CTX
F2S4_150428_001_B01	L5 PT CTX
F2S4_150428_001_C01	L5 PT CTX
F2S4_150428_001_D01	L5 IT CTX
F2S4_150428_001_E01	L5 IT CTX
F2S4_150428_001_F01	L5 PT CTX
F2S4_150428_001_G01	L5 PT CTX
F2S4_150428_001_H01	L5 PT CTX
F2S4_150430_003_A01	L5 PT CTX
F2S4_150430_003_B01	L4/5 IT CTX
F2S4_150430_003_C01	L4/5 IT CTX
F2S4_150430_003_D01	L5 PT CTX
F2S4_150430_003_F01	L4/5 IT CTX
F2S4_150430_003_G01	L5 PT CTX
F2S4_150430_003_H01	L5 PT CTX
F2S4_150427_009_A01	L5 IT CTX
F2S4_150427_009_B01	L5 PT CTX
F2S4_150427_009_C01	L4/5 IT CTX
F2S4_150427_009_D01	L5 PT CTX
F2S4_150427_009_E01	L5 IT CTX
F2S4_150427_009_F01	L5 PT CTX
F2S4_150427_009_G01	L5 IT CTX
F2S4_150427_009_H01	L5 IT CTX
F2S4_150428_003_A01	L5 PT CTX
F2S4_150428_003_B01	L5 PT CTX
F2S4_150428_003_C01	L5 PT CTX
F2S4_150428_003_D01	L5 IT CTX
F2S4_150428_003_E01	L5 PT CTX
F2S4_150428_003_G01	L5 PT CTX
F2S4_150428_003_H01	L4/5 IT CTX
F2S4_150429_003_A01	L5 PT CTX
F2S4_150429_003_B01	L5 IT CTX
F2S4_150429_003_C01	L5 IT CTX
F2S4_150429_003_D01	L5 IT CTX
F2S4_150429_003_E01	L5 PT CTX
F2S4_150429_003_F01	L5 PT CTX
F2S4_150429_003_G01	L5 IT CTX
F2S4_150429_003_H01	L4/5 IT CTX
F2S4_150430_010_A01	L5 IT CTX
F2S4_150430_010_B01	L5 PT CTX
F2S4_150430_010_C01	L5 PT CTX
F2S4_150430_010_D01	L5 PT CTX
F2S4_150430_010_E01	L5 PT CTX
F2S4_150430_010_F01	L4/5 IT CTX
F2S4_150430_010_G01	L5 PT CTX
F2S4_150430_010_H01	L5 PT CTX
F2S4_150430_012_A01	L5 IT CTX
F2S4_150430_012_B01	L5 PT CTX
F2S4_150430_012_C01	L5 PT CTX
F2S4_150430_012_D01	L5 PT CTX
F2S4_150430_012_E01	L5 PT CTX
F2S4_150430_012_F01	L5 IT CTX
F2S4_150430_012_G01	L5 PT CTX
F2S4_150430_012_H01	L5 PT CTX
F2S4_150427_003_A01	L4/5 IT CTX
F2S4_150427_005_A01	L4/5 IT CTX
F2S4_150429_001_A01	L5 PT CTX
F2S4_150430_001_A01	L4/5 IT CTX
F2S4_150430_005_A01	L5 PT CTX
F2S4_150422_006_A01	L4/5 IT CTX
F2S4_150427_011_A01	L5 PT CTX
F2S4_150428_005_A01	L5 PT CTX
F2S4_150429_005_A01	L5 IT CTX
F2S4_150427_003_B01	L5 IT CTX
F2S4_150427_005_B01	L4/5 IT CTX
F2S4_150429_001_B01	L5 PT CTX
F2S4_150430_001_B01	L5 PT CTX
F2S4_150430_005_B01	L5 PT CTX
F2S4_150422_006_B01	L6 IT CTX
F2S4_150427_011_B01	L6 CT CTX
F2S4_150428_005_B01	L5 PT CTX
F2S4_150429_005_B01	L4/5 IT CTX
F2S4_150427_003_C01	L5 PT CTX
F2S4_150427_005_C01	L5 IT CTX
F2S4_150429_001_C01	L4/5 IT CTX
F2S4_150430_001_C01	L5 IT CTX
F2S4_150430_005_C01	L5 PT CTX
F2S4_150422_006_C01	L5 IT CTX
F2S4_150427_011_C01	L5 PT CTX
F2S4_150428_005_C01	L5 IT CTX
F2S4_150429_005_C01	L5 PT CTX
F2S4_150427_003_D01	L5 PT CTX
F2S4_150427_005_D01	L5 PT CTX
F2S4_150429_001_D01	L4/5 IT CTX
F2S4_150430_001_D01	L5 PT CTX
F2S4_150430_005_D01	L5 PT CTX
F2S4_150422_006_D01	L4/5 IT CTX
F2S4_150427_011_D01	L5 PT CTX
F2S4_150428_005_D01	L4/5 IT CTX
F2S4_150429_005_D01	L5 PT CTX
F2S4_150427_003_E01	L5 IT CTX
F2S4_150427_005_E01	L5 PT CTX
F2S4_150429_001_E01	L5 IT CTX
F2S4_150430_001_E01	L5 IT CTX
F2S4_150430_005_E01	L5 IT CTX
F2S4_150422_006_E01	L4/5 IT CTX
F2S4_150427_011_E01	L5 IT CTX
F2S4_150428_005_E01	L5 PT CTX
F2S4_150429_005_E01	L5 IT CTX
F2S4_150427_003_F01	L5 PT CTX
F2S4_150427_005_F01	L5 IT CTX
F2S4_150429_001_F01	L5 PT CTX
F2S4_150430_001_F01	L5 IT CTX
F2S4_150430_005_F01	L5 PT CTX
F2S4_150422_006_F01	L5 IT CTX
F2S4_150427_011_F01	L5 IT CTX
F2S4_150428_005_F01	L4/5 IT CTX
F2S4_150429_005_F01	L5 PT CTX
F2S4_150427_003_G01	L5 IT CTX
F2S4_150427_005_G01	L5 PT CTX
F2S4_150429_001_G01	L5 PT CTX
F2S4_150430_001_G01	L5 IT CTX
F2S4_150430_005_G01	L5 IT CTX
F2S4_150422_006_G01	L5 PT CTX
F2S4_150427_011_G01	L5 PT CTX
F2S4_150428_005_G01	L5 PT CTX
F2S4_150429_005_G01	L5 PT CTX
F2S4_150427_003_H01	L5 IT CTX
F2S4_150427_005_H01	L5 NP CTX
F2S4_150429_001_H01	L5 IT CTX
F2S4_150430_001_H01	L4/5 IT CTX
F2S4_150430_005_H01	L5 IT CTX
F2S4_150422_006_H01	L5 IT CTX
F2S4_150427_011_H01	L5 PT CTX
F2S4_150428_005_H01	L5 IT CTX
F2S4_150429_005_H01	L5 PT CTX
F2S4_151217_005_C01	L4/5 IT CTX
F2S4_151217_005_E01	L4/5 IT CTX
F2S4_151217_005_F01	L4/5 IT CTX
F2S4_151217_005_G01	L4/5 IT CTX
F2S4_151217_005_H01	L4/5 IT CTX
F2S4_151217_006_A01	L4/5 IT CTX
F2S4_151217_006_B01	Vip
F2S4_151217_006_C01	L2/3 IT CTX-1
F2S4_151217_006_D01	L4/5 IT CTX
F2S4_151217_006_E01	L4/5 IT CTX
F2S4_151217_006_F01	L4/5 IT CTX
F2S4_151217_006_G01	L4/5 IT CTX
F2S4_151217_006_H01	Lamp5
F2S4_151217_009_A01	L5 NP CTX
F2S4_151217_009_B01	Sst
F2S4_151217_009_C01	Vip
F2S4_151217_009_D01	L4/5 IT CTX
F2S4_151217_009_E01	Vip
F2S4_151217_009_F01	Vip
F2S4_151217_009_G01	Vip
F2S4_151217_009_H01	Vip
F2S4_151217_010_A01	Vip
F2S4_151217_010_B01	L5 NP CTX
F2S4_151217_010_D01	L4/5 IT CTX
F2S4_151217_010_E01	Vip
F2S4_151217_010_F01	L5 NP CTX
F2S4_151217_010_G01	L5 IT CTX
F2S4_151217_010_H01	Sst
F2S4_151217_013_B01	L6 CT CTX
