sample_name	bio_celltype
F2S4_160722_008_A01	Sst
F2S4_160722_008_B01	Sst
F2S4_160722_008_C01	L5 NP CTX
F2S4_160722_008_D01	L5 NP CTX
F2S4_160722_008_E01	L5 NP CTX
F2S4_160722_008_F01	L5 IT CTX
F2S4_160722_008_G01	Vip
F2S4_160722_008_H01	L5 IT CTX
F2S4_160722_009_B01	L5 IT CTX
F2S4_160722_009_C01	Sst
F2S4_160722_009_D01	L5 NP CTX
F2S4_160722_009_F01	L4/5 IT CTX
F2S4_160722_009_G01	Sst
F2S4_160722_009_H01	L4/5 IT CTX
F2S4_160722_022_A01	L5 IT CTX
F2S4_160722_022_B01	L5 IT CTX
F2S4_160722_022_C01	Vip
F2S4_160722_022_E01	L5 IT CTX
F2S4_160722_022_G01	L4/5 IT CTX
F2S4_160722_022_H01	Sst
F2S4_160722_023_A01	L4/5 IT CTX
F2S4_160722_023_B01	L5 NP CTX
F2S4_160722_023_C01	L5 NP CTX
F2S4_160722_023_D01	L4/5 IT CTX
F2S4_160722_023_E01	L5 IT CTX
F2S4_160722_023_F01	L4/5 IT CTX
F2S4_160722_023_G01	L5 IT CTX
F2S4_160722_023_H01	L5 IT CTX
F2S4_160722_024_A01	L5 IT CTX
F2S4_160722_024_B01	L4/5 IT CTX
F2S4_160722_024_C01	Vip
F2S4_160722_024_D01	Lamp5
F2S4_160722_024_E01	Vip
F2S4_160722_024_F01	L5 IT CTX
F2S4_160722_024_G01	L4/5 IT CTX
F2S4_160722_024_H01	L5 NP CTX
F2S4_160722_036_A01	Lamp5
F2S4_160722_036_B01	L2/3 IT CTX-1
F2S4_160722_036_C01	L4/5 IT CTX
F2S4_160722_036_D01	L2/3 IT CTX-1
F2S4_160722_036_E01	L2/3 IT CTX-1
F2S4_160722_036_F01	Vip
F2S4_160722_036_G01	L2/3 IT CTX-1
F2S4_160722_036_H01	Vip
F2S4_160722_037_A01	L4/5 IT CTX
F2S4_160722_037_B01	L2/3 IT CTX-1
F2S4_160722_037_C01	Lamp5
F2S4_160722_037_D01	L2/3 IT CTX-1
F2S4_160722_037_E01	L2/3 IT CTX-1
F2S4_160722_037_F01	Vip
F2S4_160722_037_G01	Lamp5
F2S4_160722_037_H01	L2/3 IT CTX-1
F2S4_160722_041_A01	Vip
F2S4_160722_041_B01	L2/3 IT CTX-1
F2S4_160722_041_C01	Vip
F2S4_160722_041_D01	L4/5 IT CTX
F2S4_160722_041_E01	L2/3 IT CTX-1
F2S4_160722_041_F01	L4/5 IT CTX
F2S4_160722_041_G01	Lamp5
F2S4_160722_041_H01	Vip
F2S4_160722_042_A01	L4/5 IT CTX
F2S4_160722_042_B01	Lamp5
F2S4_160722_042_C01	Vip
F2S4_160722_042_D01	Vip
F2S4_160722_042_E01	L2/3 IT CTX-1
F2S4_160722_042_F01	L4/5 IT CTX
F2S4_160722_042_G01	Vip
F2S4_160722_042_H01	L2/3 IT CTX-1
F2S4_160722_038_A01	L4/5 IT CTX
F2S4_160722_038_B01	L4/5 IT CTX
F2S4_160722_038_C01	Vip
F2S4_160722_038_D01	L2/3 IT CTX-1
F2S4_160722_038_E01	Vip
F2S4_160722_038_F01	L4/5 IT CTX
F2S4_160722_038_G01	L4/5 IT CTX
F2S4_160722_038_H01	Vip
F2S4_160722_039_A01	Vip
F2S4_160722_039_B01	Vip
F2S4_160722_039_C01	Vip
F2S4_160722_039_D01	L2/3 IT CTX-1
F2S4_160722_039_E01	Vip
F2S4_160722_039_F01	L2/3 IT CTX-1
F2S4_160722_039_G01	L2/3 IT CTX-1
F2S4_160722_039_H01	L4/5 IT CTX
F2S4_160722_040_A01	Lamp5
F2S4_160722_040_B01	Vip
F2S4_160722_040_C01	L4/5 IT CTX
F2S4_160722_040_D01	L4/5 IT CTX
F2S4_160722_040_E01	Vip
F2S4_160722_040_F01	Vip
F2S4_160722_040_G01	L4/5 IT CTX
F2S4_160722_040_H01	L4/5 IT CTX
F2S4_160722_010_A01	L5 IT CTX
F2S4_160722_010_B01	L5 NP CTX
F2S4_160722_010_C01	L5 NP CTX
F2S4_160722_010_D01	Sst
F2S4_160722_010_E01	L6 IT CTX
F2S4_160722_010_F01	L5 IT CTX
F2S4_160722_010_G01	L5 IT CTX
F2S4_160722_010_H01	L5 NP CTX
F2S4_160722_011_A01	L5 IT CTX
F2S4_160722_011_B01	Vip
F2S4_160722_011_C01	L6 IT CTX
F2S4_160722_011_E01	L5 IT CTX
F2S4_160722_011_F01	L4/5 IT CTX
F2S4_160722_011_G01	Lamp5
F2S4_160722_011_H01	L5 IT CTX
F2S4_160722_012_A01	L5 NP CTX
F2S4_160722_012_B01	L6 IT CTX
F2S4_160722_012_C01	Sst
F2S4_160722_012_D01	Lamp5
F2S4_160722_012_E01	L5 IT CTX
F2S4_160722_012_F01	L5 IT CTX
F2S4_160722_012_H01	L5 NP CTX
F2S4_160722_027_A01	L5 IT CTX
F2S4_160722_027_B01	L5 IT CTX
F2S4_160722_027_C01	L4/5 IT CTX
F2S4_160722_027_D01	L4/5 IT CTX
F2S4_160722_027_E01	L5 NP CTX
F2S4_160722_027_F01	L4/5 IT CTX
F2S4_160722_027_G01	L5 NP CTX
F2S4_160722_027_H01	L5 IT CTX
F2S4_160722_028_A01	Sst
F2S4_160722_028_B01	L5 IT CTX
F2S4_160722_028_C01	L5 IT CTX
F2S4_160722_028_D01	L5 IT CTX
F2S4_160722_028_E01	L4/5 IT CTX
