spot	L2/3 IT CTX-1	L4/5 IT CTX	L5 IT CTX	L5 NP CTX	L5 PT CTX	L6 CT CTX	L6 IT CTX	L6b CTX	Lamp5	Sst	Vip
400_27600	0	0	0	0	0	0	0	3	0	0	0
400_28400	1	0	0	1	0	0	0	4	0	0	1
400_29200	0	0	0	1	0	0	0	0	0	0	0
400_30000	0	0	1	1	0	0	0	1	0	0	0
400_30800	0	0	1	0	0	0	0	0	0	0	0
400_31600	0	0	0	0	0	0	0	3	1	0	0
400_32400	0	0	0	0	0	0	0	1	0	3	0
400_33200	0	0	0	0	0	3	0	0	0	0	1
400_34000	0	0	0	0	0	8	1	0	0	0	0
400_34800	0	0	0	0	0	6	1	0	0	1	1
400_35600	0	0	0	1	0	2	1	1	0	1	0
400_36400	0	0	1	1	1	0	0	0	0	2	0
400_37200	0	0	0	1	3	0	1	0	0	1	0
400_38000	2	0	0	1	1	0	0	1	0	0	1
400_38800	0	0	0	0	0	0	0	0	1	0	0
400_39600	2	0	1	0	0	0	0	1	0	2	0
400_40400	0	4	0	0	0	0	0	1	0	0	0
400_41200	0	2	3	0	0	0	0	0	0	1	3
400_42000	0	2	2	2	0	0	0	0	0	0	0
400_42800	0	1	1	0	0	0	0	0	0	0	0
400_43600	3	1	0	1	0	0	0	0	0	0	0
400_44400	1	0	0	0	0	1	0	3	0	0	1
400_45200	4	0	0	0	0	0	2	0	0	0	0
400_46000	2	0	0	0	0	0	0	0	0	1	0
400_46800	1	0	0	0	0	0	0	0	0	0	0
400_47600	0	0	0	2	0	0	0	3	0	0	0
1200_26000	0	0	0	0	0	0	0	4	0	0	0
1200_26800	0	0	0	0	0	0	0	0	0	0	1
1200_27600	0	0	2	1	0	0	0	0	0	0	0
1200_28400	1	0	0	0	0	0	2	0	2	0	0
1200_29200	0	0	1	0	0	0	2	0	0	1	1
1200_30000	0	0	1	0	0	0	0	0	0	0	1
1200_30800	0	0	1	0	0	0	0	1	0	0	0
1200_31600	0	0	0	1	0	0	0	5	0	0	0
1200_32400	0	0	0	0	0	4	1	4	0	0	0
1200_33200	0	0	0	1	0	7	0	6	0	0	0
1200_34000	0	0	0	0	0	8	4	0	2	0	0
1200_34800	0	0	0	1	0	3	3	0	0	1	1
1200_35600	0	1	1	0	0	2	3	0	0	0	0
1200_36400	1	0	0	2	2	0	2	0	2	2	0
1200_37200	0	0	0	0	2	0	4	0	0	0	0
1200_38000	0	0	0	0	0	0	2	2	0	1	0
1200_38800	0	0	0	0	0	0	1	1	0	0	0
1200_39600	0	3	3	0	0	0	0	0	0	0	0
1200_40400	0	10	4	0	0	0	2	0	0	1	0
1200_41200	0	6	4	0	0	0	0	0	0	1	0
1200_42000	0	7	0	2	0	0	0	0	1	0	2
1200_42800	0	1	0	3	0	0	0	0	0	0	0
1200_43600	6	0	1	0	0	0	0	2	0	0	0
1200_44400	10	0	0	4	0	0	0	2	0	4	0
1200_45200	5	0	0	0	0	0	0	0	1	0	0
1200_46000	5	0	0	0	0	0	0	1	0	2	0
1200_46800	1	0	0	0	0	1	0	0	0	0	0
1200_47600	0	0	0	3	0	0	0	6	0	0	0
2000_25200	0	0	0	1	0	0	0	1	0	0	0
2000_26000	0	0	0	3	0	0	0	5	0	0	0
2000_26800	0	0	0	3	0	0	0	0	0	0	0
2000_28400	1	0	1	0	0	0	2	0	0	1	0
2000_29200	0	0	0	0	0	0	0	1	0	0	0
2000_30000	0	0	0	0	0	0	0	1	0	0	0
2000_30800	0	0	0	0	0	0	0	2	0	0	0
2000_31600	0	0	0	1	0	0	0	1	0	1	0
2000_32400	0	0	0	0	0	6	0	3	0	0	1
2000_33200	0	0	1	0	0	5	1	1	0	0	0
2000_34000	0	0	0	0	0	7	1	0	1	1	0
2000_34800	0	0	1	0	0	3	1	0	0	2	0
2000_35600	0	0	3	0	0	0	1	0	0	0	0
2000_36400	0	0	0	0	3	0	0	1	1	0	0
2000_37200	0	0	0	0	1	0	0	0	1	1	0
2000_38000	2	0	1	0	0	0	1	0	0	0	0
2000_38800	0	0	2	1	0	0	0	0	1	0	0
2000_39600	0	4	2	0	0	0	0	0	0	1	0
2000_40400	0	6	1	1	0	0	0	0	0	0	0
2000_41200	0	4	1	2	0	0	0	0	0	0	1
2000_42000	0	1	0	0	0	0	0	0	0	0	0
2000_42800	2	3	1	0	0	0	1	0	1	0	0
2000_43600	0	1	0	0	0	0	0	0	0	0	0
2000_44400	4	0	0	1	1	0	0	0	0	0	0
2000_45200	2	1	0	0	0	0	0	0	1	0	0
2000_46000	1	0	0	0	0	0	0	0	0	0	1
2000_46800	1	0	1	0	0	0	0	0	0	0	0
2000_47600	0	0	2	1	0	0	0	2	0	0	0
2800_26000	0	0	0	0	0	0	0	1	0	0	0
2800_26800	0	0	0	2	0	0	0	1	0	0	0
2800_27600	1	0	1	0	0	0	1	0	0	0	0
2800_28400	1	0	0	0	0	0	3	0	0	1	0
2800_30000	0	0	0	0	0	0	0	1	0	0	0
2800_30800	0	0	0	0	0	1	0	0	0	1	0
2800_31600	0	0	0	0	0	0	0	2	0	0	0
2800_32400	0	0	0	0	0	6	2	2	0	0	0
2800_33200	0	0	0	0	0	4	1	0	1	1	0
2800_34000	0	0	0	0	0	4	2	0	1	0	1
2800_34800	0	0	0	0	0	3	2	1	0	1	0
2800_35600	0	0	0	0	2	0	2	0	0	0	0
2800_36400	0	0	2	0	3	0	1	0	1	0	0
2800_37200	0	0	0	0	1	0	0	0	0	1	0
2800_38000	0	0	0	0	0	0	2	0	0	1	1
2800_38800	2	0	0	0	0	0	2	0	0	1	0
2800_39600	0	8	0	0	0	0	0	0	0	1	0
2800_40400	0	6	1	1	0	0	0	0	0	0	0
2800_41200	0	3	0	0	0	0	0	0	1	0	0
2800_42000	0	4	1	0	0	0	0	0	0	0	1
2800_42800	2	1	0	0	1	0	1	0	2	0	0
2800_43600	2	0	0	0	0	0	1	0	1	0	0
2800_44400	4	0	0	1	0	0	0	0	1	0	0
2800_45200	4	0	0	1	0	0	1	0	0	0	0
2800_46000	3	0	0	0	1	1	0	0	1	0	0
