cell	bio_celltype
cell_778	L2/3 IT CTX-1
cell_1409	L6 CT CTX
cell_3642	Sst
cell_1302	Sst
cell_1285	Vip
cell_769	Vip
cell_1466	Sst
cell_5870	L4/5 IT CTX
cell_1392	Lamp5
cell_5682	Lamp5
cell_1274	L2/3 IT CTX-1
cell_1464	Sst
cell_1263	Vip
cell_1277	Sst
cell_6337	Lamp5
cell_4303	L6b CTX
cell_2071	Vip
cell_1416	Sst
cell_993	Lamp5
cell_1273	Sst
cell_6195	Lamp5
cell_4907	Vip
cell_4094	Lamp5
cell_2244	L5 NP CTX
cell_5036	Sst
cell_1299	Sst
cell_2209	Sst
cell_4690	Sst
cell_1411	L5 NP CTX
cell_5719	L5 NP CTX
cell_1249	Sst
cell_6435	Vip
cell_6046	Sst
cell_645	Lamp5
cell_3427	Sst
cell_1297	Sst
cell_4287	Lamp5
cell_3959	Sst
cell_1148	Sst
cell_5867	Lamp5
cell_1845	Lamp5
cell_5754	Lamp5
cell_1414	Vip
cell_1286	Lamp5
cell_2646	Lamp5
cell_4980	Sst
cell_2311	Vip
cell_765	Vip
cell_1279	Sst
cell_4568	Lamp5
cell_3901	Sst
cell_2848	Sst
cell_1284	Lamp5
cell_1271	L6 CT CTX
cell_1306	L6 CT CTX
cell_3477	Lamp5
cell_170	Lamp5
cell_2157	Sst
cell_1806	Lamp5
cell_4609	Sst
cell_3758	Vip
cell_2083	Vip
cell_687	L4/5 IT CTX
cell_2293	Sst
cell_1425	Sst
cell_6196	Sst
cell_1334	Sst
cell_6157	Lamp5
cell_3313	Lamp5
cell_5692	Lamp5
cell_5724	Lamp5
cell_1281	Sst
cell_4725	Lamp5
cell_1290	Sst
cell_4504	L5 NP CTX
cell_3881	Sst
cell_205	Lamp5
cell_6302	Lamp5
cell_5048	Vip
cell_5413	Lamp5
cell_5857	Lamp5
cell_1253	Lamp5
cell_1291	Lamp5
cell_768	Vip
cell_767	L4/5 IT CTX
cell_3307	Lamp5
cell_7328	Lamp5
cell_164	Sst
cell_2843	Sst
cell_5386	Lamp5
cell_2670	Lamp5
cell_7350	Sst
cell_5740	L6 CT CTX
cell_1267	Vip
cell_1259	Sst
cell_1408	Vip
cell_6218	Sst
cell_2174	Lamp5
cell_6015	Sst
cell_4435	Sst
cell_1301	Sst
cell_4672	Lamp5
cell_6058	Vip
cell_5185	Sst
cell_1465	Sst
cell_6254	Vip
cell_5219	Lamp5
cell_4990	Sst
cell_3560	Sst
cell_1336	Sst
cell_1289	Sst
cell_3759	Sst
cell_6174	Lamp5
cell_1280	Sst
cell_6189	Sst
cell_1415	Lamp5
cell_1269	Vip
cell_7382	Sst
cell_1272	Lamp5
cell_6372	Lamp5
cell_1264	Lamp5
cell_2233	L4/5 IT CTX
cell_7383	Sst
cell_5877	Sst
cell_1296	L6b CTX
cell_1275	Lamp5
cell_5806	Sst
cell_6722	Sst
cell_3699	Vip
cell_3877	Vip
cell_1282	Lamp5
cell_2187	Sst
cell_5231	Lamp5
cell_1429	L6 CT CTX
cell_1293	Sst
cell_2148	Sst
cell_809	Lamp5
cell_1260	Vip
cell_1399	Vip
cell_3583	Sst
cell_2076	Lamp5
cell_3803	Sst
cell_1257	Lamp5
cell_5681	Lamp5
cell_4031	Sst
cell_1268	Vip
cell_800	Sst
cell_4055	Sst
cell_1308	L6 CT CTX
cell_2098	Sst
cell_1421	Sst
cell_3908	Lamp5
