cell	bio_celltype
778	L2/3 IT CTX-1
1409	L6 CT CTX
3642	Sst
1302	Sst
1285	Vip
769	Vip
1466	Sst
5870	L4/5 IT CTX
1392	Lamp5
5682	Lamp5
1274	L2/3 IT CTX-1
1464	Sst
1263	Vip
1277	Sst
6337	Lamp5
4303	L6b CTX
2071	Vip
1416	Sst
993	Lamp5
1273	Sst
6195	Lamp5
4907	Vip
4094	Lamp5
2244	L5 NP CTX
5036	Sst
1299	Sst
2209	Sst
4690	Sst
1411	L5 NP CTX
5719	L5 NP CTX
1249	Sst
6435	Vip
6046	Sst
645	Lamp5
3427	Sst
1297	Sst
4287	Lamp5
3959	Sst
1148	Sst
5867	Lamp5
1845	Lamp5
5754	Lamp5
1414	Vip
1286	Lamp5
2646	Lamp5
4980	Sst
2311	Vip
765	Vip
1279	Sst
4568	Lamp5
3901	Sst
2848	Sst
1284	Lamp5
1271	L6 CT CTX
1306	L6 CT CTX
3477	Lamp5
170	Lamp5
2157	Sst
1806	Lamp5
4609	Sst
3758	Vip
2083	Vip
687	L4/5 IT CTX
2293	Sst
1425	Sst
6196	Sst
1334	Sst
6157	Lamp5
3313	Lamp5
5692	Lamp5
5724	Lamp5
1281	Sst
4725	Lamp5
1290	Sst
4504	L5 NP CTX
3881	Sst
205	Lamp5
6302	Lamp5
5048	Vip
5413	Lamp5
5857	Lamp5
1253	Lamp5
1291	Lamp5
768	Vip
767	L4/5 IT CTX
3307	Lamp5
7328	Lamp5
164	Sst
2843	Sst
5386	Lamp5
2670	Lamp5
7350	Sst
5740	L6 CT CTX
1267	Vip
1259	Sst
1408	Vip
6218	Sst
2174	Lamp5
6015	Sst
4435	Sst
1301	Sst
4672	Lamp5
6058	Vip
5185	Sst
1465	Sst
6254	Vip
5219	Lamp5
4990	Sst
3560	Sst
1336	Sst
1289	Sst
3759	Sst
6174	Lamp5
1280	Sst
6189	Sst
1415	Lamp5
1269	Vip
7382	Sst
1272	Lamp5
6372	Lamp5
1264	Lamp5
2233	L4/5 IT CTX
7383	Sst
5877	Sst
1296	L6b CTX
1275	Lamp5
5806	Sst
6722	Sst
3699	Vip
3877	Vip
1282	Lamp5
2187	Sst
5231	Lamp5
1429	L6 CT CTX
1293	Sst
2148	Sst
809	Lamp5
1260	Vip
1399	Vip
3583	Sst
2076	Lamp5
3803	Sst
1257	Lamp5
5681	Lamp5
4031	Sst
1268	Vip
800	Sst
4055	Sst
1308	L6 CT CTX
2098	Sst
1421	Sst
3908	Lamp5
3294	L5 NP CTX
1320	L6b CTX
3915	Vip
1295	Sst
3987	Lamp5
4625	Lamp5
7363	Sst
1410	Sst
5155	Lamp5
4735	Sst
1451	Sst
6071	Lamp5
5061	Lamp5
7653	Sst
3874	Sst
2509	Lamp5
6187	Sst
5513	L5 NP CTX
723	Sst
6097	Sst
4613	L2/3 IT CTX-1
3706	Sst
5670	Vip
5452	Sst
5281	Sst
4218	Sst
56	Sst
2169	Sst
6531	Sst
6181	Sst
655	Sst
868	Sst
4748	Sst
6720	Sst
4630	Sst
2061	Sst
4323	L5 NP CTX
6513	L6b CTX
6288	Sst
6096	Sst
243	Sst
6353	L6b CTX
4449	Sst
697	Sst
89	Lamp5
6153	Sst
5113	Sst
5696	L2/3 IT CTX-1
2123	Sst
4768	Sst
4252	Sst
3462	Lamp5
2510	Lamp5
3574	Sst
6456	Sst
4035	Sst
5698	Sst
5488	Sst
4596	Sst
6193	Sst
6251	Sst
6490	Sst
4752	Sst
5804	Sst
5793	Sst
6496	Sst
2253	Sst
1906	Lamp5
5057	Lamp5
2224	Sst
2208	Vip
2282	Vip
212	Sst
4782	Sst
1495	Sst
5444	Sst
2443	Sst
6529	L6 IT CTX
634	Sst
4270	Sst
6422	Lamp5
818	Sst
6182	Sst
5923	Sst
4032	Lamp5
5564	Sst
4407	L6 IT CTX
4893	Sst
6508	Sst
4274	Sst
6172	Sst
3707	Sst
5794	Lamp5
4300	Sst
3422	Sst
2753	Sst
6369	Sst
2467	Sst
3948	Vip
4432	Sst
1006	Sst
736	Lamp5
301	Lamp5
5947	Sst
842	Sst
4166	Sst
5448	Sst
5233	Sst
6517	Sst
6067	Sst
3745	Sst
3713	Sst
6315	Sst
2739	Sst
5403	Sst
4343	Vip
5112	Sst
7632	Lamp5
2859	Sst
3110	Sst
5136	Lamp5
3834	Sst
5703	Sst
7648	Sst
2472	Sst
1009	Sst
2264	Sst
7837	L6b CTX
4253	Sst
2215	Sst
4491	Lamp5
706	Lamp5
621	Lamp5
4750	Sst
2444	Lamp5
4945	Sst
2137	Sst
4392	Sst
487	Sst
690	Sst
4843	L2/3 IT CTX-1
1745	Sst
1046	Lamp5
5790	Sst
4243	Sst
2784	L6 IT CTX
4020	Sst
3478	Sst
5508	Sst
1863	Lamp5
2489	Lamp5
3281	Lamp5
860	L6 IT CTX
852	Vip
3576	L4/5 IT CTX
3702	L6 IT CTX
3735	L4/5 IT CTX
4599	Lamp5
5845	Lamp5
5738	Lamp5
2242	L6 IT CTX
1588	Vip
4883	L4/5 IT CTX
6289	Sst
4870	Lamp5
2852	Sst
5688	Lamp5
7341	L6 IT CTX
2787	L6 IT CTX
4866	Lamp5
4006	Vip
6161	L6 IT CTX
1091	Lamp5
856	Vip
2462	Vip
2520	L6 IT CTX
1908	L4/5 IT CTX
850	L6 IT CTX
16	L2/3 IT CTX-1
3597	L4/5 IT CTX
4667	Vip
5310	L6 IT CTX
2258	L6 IT CTX
5841	Lamp5
4410	L6 IT CTX
1835	L5 IT CTX
2857	Lamp5
4115	L6 IT CTX
1241	Lamp5
5735	Lamp5
1619	Lamp5
4602	Lamp5
4065	Lamp5
2122	Lamp5
6209	L6 IT CTX
3737	L6 IT CTX
4574	Lamp5
1715	L2/3 IT CTX-1
3334	Sst
4979	Sst
1455	Sst
6042	Sst
4733	Sst
5071	Sst
3742	Sst
6091	Lamp5
5127	Sst
1473	Sst
5540	Lamp5
3073	L5 NP CTX
1309	Sst
1337	Sst
123	Lamp5
6605	Lamp5
3922	Sst
1494	Sst
1347	Lamp5
1352	Sst
1338	Sst
4527	L2/3 IT CTX-1
3470	Lamp5
4882	Sst
29	Lamp5
1328	Sst
7060	Sst
1653	L2/3 IT CTX-1
5137	Sst
1353	L6b CTX
1111	L6 CT CTX
5031	Lamp5
6381	Sst
185	Lamp5
1595	Lamp5
6537	Lamp5
3207	L5 IT CTX
1355	Sst
2109	Sst
1447	Sst
3410	Lamp5
3896	Lamp5
2146	Sst
3734	Sst
286	Lamp5
3343	L2/3 IT CTX-1
3932	Lamp5
1343	L6b CTX
1472	L6b CTX
1540	L6b CTX
1484	L6b CTX
1342	Sst
1164	Sst
3661	Sst
3382	Lamp5
1616	Lamp5
5701	Lamp5
1335	Sst
1457	Sst
1476	Sst
4736	Lamp5
4518	Sst
4874	L5 NP CTX
1450	Sst
3770	Sst
4622	Sst
3102	L6b CTX
6170	Lamp5
4751	Lamp5
1326	Sst
1633	L2/3 IT CTX-1
1778	Lamp5
143	Lamp5
4541	L5 NP CTX
348	Lamp5
5849	L5 NP CTX
1331	Lamp5
5591	Lamp5
5165	Sst
4545	Lamp5
6552	L5 NP CTX
1512	L5 NP CTX
1480	Sst
4929	Sst
1470	Sst
248	Lamp5
5081	Lamp5
2201	L4/5 IT CTX
368	Lamp5
83	Lamp5
1576	Lamp5
3857	Vip
7052	Vip
3807	L4/5 IT CTX
5911	Vip
3726	Sst
4744	Vip
3324	Vip
3618	Vip
4280	Sst
5752	Lamp5
2767	Lamp5
1973	Vip
3669	Vip
5725	Lamp5
2161	Vip
186	Vip
2039	Sst
2167	Sst
6484	Sst
2304	L6 CT CTX
2771	Lamp5
7812	Vip
679	L5 NP CTX
3755	Lamp5
4794	L4/5 IT CTX
4678	Vip
1394	Vip
5163	Lamp5
5501	Vip
4928	L4/5 IT CTX
606	Vip
3114	Vip
4047	Vip
2581	Vip
643	Lamp5
5558	Vip
719	Vip
4909	Lamp5
6094	Sst
5480	L6 IT CTX
321	Vip
5963	Sst
2133	Vip
7066	Sst
3368	Sst
1807	Vip
2089	Vip
5507	Vip
617	Vip
3515	Vip
6034	Vip
493	L4/5 IT CTX
6483	Sst
545	Vip
3970	L6 CT CTX
1527	L5 NP CTX
7373	Lamp5
1300	Vip
2131	Sst
601	Vip
5491	Vip
4796	Sst
4800	Lamp5
6005	Lamp5
1915	Sst
2057	Vip
