sample_name	subclass_label
F2S4_160816_020_C01	Lamp5
F2S4_170215_029_F01	Lamp5
F2S4_170215_029_H01	Lamp5
F2S4_170215_026_H01	Lamp5
F2S4_170216_031_G01	Lamp5
F2S4_160722_030_A01	Lamp5
F2S4_170215_026_E01	Lamp5
F2S4_170322_012_A01	Lamp5
F2S4_160825_036_E01	Lamp5
F2S4_160816_024_B01	Lamp5
F2S4_160824_022_G01	Lamp5
F2S4_170215_026_B01	Lamp5
F2S4_170216_032_G01	Lamp5
F2S4_170215_033_H01	Lamp5
F2S4_170215_035_F01	Lamp5
F2S4_170321_032_C01	Lamp5
F2S4_170215_029_G01	Lamp5
F2S4_170215_038_A01	Lamp5
F2S4_160816_027_E01	Lamp5
F2S4_170322_010_F01	Lamp5
F2S4_170216_021_D01	Lamp5
F2S4_170215_031_C01	Lamp5
F2S4_160825_033_C01	Lamp5
F2S4_160824_017_F01	Lamp5
F2S4_160722_019_D01	Lamp5
F2S4_170321_031_G01	Lamp5
F2S4_170216_032_F01	Lamp5
F2S4_160722_033_A01	Lamp5
F2S4_170216_032_D01	Lamp5
F2S4_170216_031_F01	Lamp5
F2S4_170215_037_C01	Lamp5
F2S4_170215_024_A01	Lamp5
F2S4_160824_041_B01	Lamp5
F2S4_160816_022_D01	Lamp5
F2S4_170215_024_G01	Lamp5
F2S4_170215_025_C01	Lamp5
F2S4_160816_026_G01	Lamp5
F2S4_160824_019_F01	Lamp5
F2S4_170215_025_E01	Lamp5
F2S4_170215_038_G01	Vip
F2S4_160722_001_A01	Vip
F2S4_170215_025_H01	Vip
F2S4_170215_030_A01	Vip
F2S4_160722_020_E01	Vip
F2S4_170215_033_G01	Vip
F2S4_160816_027_C01	Vip
F2S4_160825_049_B01	Vip
F2S4_170215_031_B01	Vip
F2S4_160816_026_D01	Vip
F2S4_160816_023_F01	Vip
F2S4_170215_025_F01	Vip
F2S4_160824_022_C01	Vip
F2S4_170216_027_H01	Vip
F2S4_160824_017_A01	Vip
F2S4_170216_032_E01	Vip
F2S4_170215_029_A01	Vip
F2S4_170322_012_B01	Vip
F2S4_160722_029_G01	Vip
F2S4_170215_033_E01	Vip
F2S4_160825_028_B01	Vip
F2S4_160825_035_H01	Vip
F2S4_170322_011_D01	Vip
F2S4_160824_020_B01	Vip
F2S4_170322_008_C01	Vip
F2S4_160816_022_H01	Vip
F2S4_170215_028_C01	Vip
F2S4_170321_031_A01	Vip
F2S4_170322_009_B01	Vip
F2S4_170215_033_A01	Vip
F2S4_170215_034_H01	Vip
F2S4_160816_027_G01	Vip
F2S4_160824_032_H01	Vip
F2S4_160722_035_G01	Vip
F2S4_170215_027_D01	Vip
F2S4_170321_030_C01	Vip
F2S4_160824_022_A01	Vip
F2S4_180608_005_E01	Vip
F2S4_170216_025_A01	Vip
F2S4_170321_040_D01	Vip
F2S4_160816_030_H01	Vip
F2S4_170215_035_E01	Vip
F2S4_170216_023_F01	Vip
F2S4_170215_039_H01	Vip
F2S4_160722_002_A01	Vip
F2S4_160825_028_H01	Vip
F2S4_170216_023_A01	Vip
F2S4_170215_035_D01	Vip
F2S4_170216_024_F01	Vip
F2S4_160825_029_F01	Vip
F2S4_170321_034_A01	Vip
F2S4_170321_033_A01	Vip
F2S4_160824_024_D01	Vip
F2S4_160824_021_H01	Vip
F2S4_170321_033_F01	Vip
F2S4_160722_035_E01	Vip
F2S4_170215_034_B01	Vip
F2S4_160816_026_F01	Vip
F2S4_160824_023_G01	Vip
F2S4_160825_040_E01	Sst
F2S4_170216_026_H01	Sst
F2S4_180608_005_C01	Sst
F2S4_180608_006_B01	Sst
F2S4_180608_005_H01	Sst
F2S4_160816_017_F01	Sst
F2S4_160810_024_A01	Sst
F2S4_170627_034_D01	Sst
F2S4_170216_028_G01	Sst
F2S4_160722_003_F01	Sst
F2S4_170216_028_B01	Sst
F2S4_160816_029_D01	Sst
F2S4_160722_019_E01	Sst
F2S4_160722_015_C01	Sst
F2S4_160722_020_D01	Sst
F2S4_170216_030_H01	Sst
F2S4_160824_048_B01	Sst
F2S4_170216_028_A01	Sst
F2S4_160816_028_H01	Sst
F2S4_160816_028_D01	Sst
F2S4_160816_032_B01	Sst
F2S4_160824_048_C01	Sst
F2S4_160816_031_D01	Sst
F2S4_170216_029_G01	Sst
F2S4_170216_025_F01	Sst
F2S4_170216_027_G01	Sst
F2S4_170216_022_A01	Sst
F2S4_170216_026_C01	Sst
F2S4_160816_014_H01	Sst
F2S4_160816_016_A01	Sst
F2S4_160816_028_E01	Sst
F2S4_170321_048_H01	Sst
F2S4_160816_033_H01	Sst
F2S4_160816_018_A01	Sst
F2S4_160824_045_D01	Sst
F2S4_160825_029_D01	Sst
F2S4_170216_028_C01	Sst
F2S4_170321_030_G01	Sst
F2S4_170215_038_E01	Sst
F2S4_170215_032_A01	Sst
F2S4_160722_005_E01	Sst
F2S4_160816_014_E01	Sst
F2S4_170216_030_F01	Sst
F2S4_170216_023_D01	Sst
F2S4_160816_018_F01	Sst
F2S4_170322_029_A01	Sst
F2S4_160816_028_F01	Sst
F2S4_160816_031_B01	Sst
F2S4_160816_032_D01	Sst
F2S4_160816_029_E01	Sst
F2S4_160816_031_C01	Sst
F2S4_170215_039_B01	Sst
F2S4_170215_035_G01	Sst
F2S4_170322_040_H01	Sst
F2S4_160816_028_G01	Sst
F2S4_160816_016_G01	Sst
F2S4_170215_038_H01	Sst
F2S4_170321_052_E01	Sst
F2S4_170215_037_A01	Sst
F2S4_170215_036_E01	Sst
F2S4_170321_048_D01	Sst
F2S4_170118_043_E01	L2/3 IT CTX-1
F2S4_170118_030_F01	L2/3 IT CTX-1
F2S4_170522_016_D01	L2/3 IT CTX-1
F2S4_170118_039_D01	L2/3 IT CTX-1
F2S4_170613_044_A01	L2/3 IT CTX-1
F2S4_170118_040_C01	L2/3 IT CTX-1
F2S4_170504_005_A01	L2/3 IT CTX-1
F2S4_170613_041_C01	L2/3 IT CTX-1
F2S4_170118_036_E01	L2/3 IT CTX-1
F2S4_170118_031_D01	L2/3 IT CTX-1
F2S4_180907_010_G01	L2/3 IT CTX-1
F2S4_170613_037_H01	L2/3 IT CTX-1
F2S4_160722_032_F01	L2/3 IT CTX-1
F2S4_170328_001_F01	L2/3 IT CTX-1
F2S4_170118_036_H01	L2/3 IT CTX-1
F2S4_160803_035_D01	L2/3 IT CTX-1
F2S4_170613_043_G01	L2/3 IT CTX-1
F2S4_170509_016_F01	L2/3 IT CTX-1
F2S4_170504_006_H01	L2/3 IT CTX-1
F2S4_170321_028_B01	L2/3 IT CTX-1
F2S4_170522_093_H01	L2/3 IT CTX-1
F2S4_170328_008_H01	L2/3 IT CTX-1
F2S4_160722_029_F01	L2/3 IT CTX-1
F2S4_170504_010_E01	L2/3 IT CTX-1
F2S4_170118_030_A01	L2/3 IT CTX-1
F2S4_170613_039_H01	L2/3 IT CTX-1
F2S4_160803_018_B01	L2/3 IT CTX-1
F2S4_170504_008_H01	L2/3 IT CTX-1
F2S4_170321_034_F01	L2/3 IT CTX-1
F2S4_170509_017_H01	L2/3 IT CTX-1
F2S4_170522_015_H01	L2/3 IT CTX-1
F2S4_170118_038_E01	L2/3 IT CTX-1
F2S4_181129_002_C01	L2/3 IT CTX-1
F2S4_170321_036_A01	L2/3 IT CTX-1
F2S4_160803_017_B01	L2/3 IT CTX-1
F2S4_170522_087_A01	L2/3 IT CTX-1
F2S4_170509_016_H01	L2/3 IT CTX-1
F2S4_170613_041_E01	L2/3 IT CTX-1
F2S4_170522_094_B01	L2/3 IT CTX-1
F2S4_160803_035_E01	L2/3 IT CTX-1
F2S4_170509_018_E01	L2/3 IT CTX-1
F2S4_170509_022_H01	L2/3 IT CTX-1
F2S4_170118_030_C01	L2/3 IT CTX-1
F2S4_170504_009_C01	L2/3 IT CTX-1
F2S4_170118_039_C01	L2/3 IT CTX-1
F2S4_170322_010_E01	L2/3 IT CTX-1
F2S4_180907_003_G01	L2/3 IT CTX-1
F2S4_180907_004_D01	L2/3 IT CTX-1
F2S4_180907_014_E01	L2/3 IT CTX-1
F2S4_180907_009_C01	L2/3 IT CTX-1
F2S4_180907_009_G01	L2/3 IT CTX-1
F2S4_180907_014_F01	L2/3 IT CTX-1
F2S4_180907_015_D01	L2/3 IT CTX-1
F2S4_180907_005_C01	L2/3 IT CTX-1
F2S4_180907_009_D01	L2/3 IT CTX-1
F2S4_180907_003_H01	L2/3 IT CTX-1
F2S4_180907_006_F01	L2/3 IT CTX-1
F2S4_180907_010_E01	L2/3 IT CTX-1
F2S4_180907_005_E01	L2/3 IT CTX-1
F2S4_180907_010_B01	L2/3 IT CTX-1
F2S4_180907_004_A01	L2/3 IT CTX-1
F2S4_180907_013_E01	L2/3 IT CTX-1
F2S4_180907_004_B01	L2/3 IT CTX-1
F2S4_180907_012_B01	L2/3 IT CTX-1
F2S4_180907_012_H01	L2/3 IT CTX-1
F2S4_180907_007_F01	L2/3 IT CTX-1
F2S4_180907_015_B01	L2/3 IT CTX-1
F2S4_180907_008_A01	L2/3 IT CTX-1
F2S4_180907_006_D01	L2/3 IT CTX-1
F2S4_180907_003_F01	L2/3 IT CTX-1
F2S4_180907_011_D01	L4/5 IT CTX
F2S4_180907_009_B01	L2/3 IT CTX-1
F2S4_180907_010_F01	L2/3 IT CTX-1
F2S4_180907_013_C01	L2/3 IT CTX-1
F2S4_180907_006_H01	L2/3 IT CTX-1
F2S4_180907_008_F01	L2/3 IT CTX-1
F2S4_180907_013_F01	L2/3 IT CTX-1
F2S4_180907_006_A01	L2/3 IT CTX-1
F2S4_180907_013_A01	L2/3 IT CTX-1
F2S4_180907_008_C01	L2/3 IT CTX-1
F2S4_180907_012_A01	L2/3 IT CTX-1
F2S4_180907_011_H01	L2/3 IT CTX-1
F2S4_180907_015_A01	L2/3 IT CTX-1
F2S4_180907_011_F01	L2/3 IT CTX-1
F2S4_180907_007_E01	L2/3 IT CTX-1
F2S4_180907_008_E01	L2/3 IT CTX-1
F2S4_180907_005_G01	L2/3 IT CTX-1
F2S4_180907_010_D01	L2/3 IT CTX-1
F2S4_180907_014_G01	L2/3 IT CTX-1
F2S4_180907_007_C01	L2/3 IT CTX-1
F2S4_180907_007_B01	L2/3 IT CTX-1
F2S4_180907_004_F01	L2/3 IT CTX-1
F2S4_180907_011_E01	L2/3 IT CTX-1
F2S4_180907_008_B01	L2/3 IT CTX-1
F2S4_180907_011_G01	L2/3 IT CTX-1
F2S4_180907_008_G01	L2/3 IT CTX-1
F2S4_170321_029_H01	L2/3 IT CTX-1
F2S4_170522_094_E01	L2/3 IT CTX-1
F2S4_170613_044_D01	L2/3 IT CTX-1
F2S4_170522_094_D01	L2/3 IT CTX-1
F2S4_170522_087_E01	L2/3 IT CTX-1
F2S4_170118_039_G01	L2/3 IT CTX-1
F2S4_170613_042_E01	L2/3 IT CTX-1
F2S4_170523_023_H01	L2/3 IT CTX-1
F2S4_170328_007_G01	L2/3 IT CTX-1
F2S4_170328_022_E01	L6 IT CTX
F2S4_170613_029_D01	L6 IT CTX
F2S4_170118_051_A01	L6 IT CTX
F2S4_170322_042_B01	L6 IT CTX
F2S4_170217_038_C01	L6 IT CTX
F2S4_170522_049_H01	L5 IT CTX
F2S4_160803_029_A01	L6 IT CTX
F2S4_170329_036_F01	L6 IT CTX
F2S4_170522_100_B01	L6 IT CTX
F2S4_170217_035_D01	L6 IT CTX
F2S4_170522_050_G01	L6 IT CTX
F2S4_170522_003_F01	L6 IT CTX
F2S4_170613_033_B01	L6 IT CTX
F2S4_170615_031_C01	L6 IT CTX
F2S4_170329_039_H01	L6 IT CTX
F2S4_160825_044_B01	L6 IT CTX
F2S4_170217_046_B01	L6 IT CTX
F2S4_160824_046_D01	L6 IT CTX
F2S4_170328_023_B01	L6 IT CTX
F2S4_170615_036_G01	L6 IT CTX
F2S4_170321_047_G01	L6 IT CTX
F2S4_160824_048_F01	L6 IT CTX
F2S4_170522_049_A01	L6 IT CTX
F2S4_170613_025_A01	L6 IT CTX
F2S4_170321_047_D01	L6 IT CTX
F2S4_170217_047_F01	L6 IT CTX
F2S4_170615_036_E01	L6 IT CTX
F2S4_170522_005_F01	L6 IT CTX
F2S4_170328_039_E01	L6 IT CTX
F2S4_170118_052_D01	L6 IT CTX
F2S4_170522_051_G01	L6 IT CTX
F2S4_170328_025_B01	L6 IT CTX
F2S4_170613_019_D01	L6 IT CTX
F2S4_170329_039_G01	L6 IT CTX
F2S4_170322_025_F01	L6 IT CTX
F2S4_170522_100_D01	L6 IT CTX
F2S4_170615_014_C01	L6 IT CTX
F2S4_160825_038_D01	L6 IT CTX
F2S4_170615_015_E01	L6 IT CTX
F2S4_160824_045_B01	L6 IT CTX
F2S4_170613_026_C01	L6 IT CTX
F2S4_170217_045_A01	L6 IT CTX
F2S4_170217_044_F01	L6 IT CTX
F2S4_160809_018_A01	L6 IT CTX
F2S4_170613_036_D01	L6 IT CTX
F2S4_170523_044_A01	L6 IT CTX
F2S4_170328_041_A01	L6 IT CTX
F2S4_170328_024_H01	L6 IT CTX
F2S4_170217_044_B01	L6 IT CTX
F2S4_170615_031_F01	L6 IT CTX
