spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
227_2332	0	0	0	0	0	0	2	0	0	5	0	1
227_2756	2	0	1	0	0	0	0	0	0	17	0	4
227_3180	0	0	0	0	0	0	0	0	0	16	1	6
227_3604	0	0	1	0	0	0	1	0	0	11	1	9
227_4028	0	0	0	0	0	0	0	0	1	2	0	7
227_4452	0	0	0	0	0	1	0	0	0	3	0	6
227_4876	0	0	0	0	0	0	0	0	0	0	0	3
681_1484	0	0	0	0	0	0	0	0	0	2	0	1
681_1908	0	0	0	0	0	0	1	0	0	10	0	2
681_2332	1	0	0	0	0	1	0	0	0	20	0	6
681_2756	7	0	0	0	0	0	0	0	0	16	0	0
681_3180	9	0	0	0	0	0	0	0	0	9	0	0
681_3604	4	0	0	0	0	0	0	1	0	15	0	0
681_4028	0	0	0	0	0	0	0	0	0	16	2	0
681_4452	2	0	0	1	0	0	0	0	0	20	0	0
681_4876	0	0	0	0	0	0	0	0	0	13	0	6
681_5300	0	0	0	0	0	0	0	0	0	0	0	1
1135_1060	0	0	0	0	0	0	0	1	0	3	0	0
1135_1484	0	0	0	0	0	0	0	0	0	18	0	0
1135_1908	1	0	0	0	0	0	0	0	0	10	0	0
1135_2332	6	0	0	0	0	0	0	0	0	15	0	0
1135_2756	3	0	1	0	0	0	0	0	0	17	0	0
1135_3180	2	0	1	1	0	0	0	0	0	20	0	0
1135_3604	2	0	0	0	0	0	0	0	0	12	0	0
1135_4028	3	0	0	0	0	0	0	0	0	7	2	0
1135_4452	4	0	0	0	0	0	0	0	0	1	0	0
1135_4876	2	0	2	0	0	1	0	0	0	17	0	0
1135_5300	0	0	0	0	0	0	0	0	0	11	0	3
1135_8692	0	0	0	0	0	0	1	0	0	0	0	2
1135_9116	0	0	0	0	0	0	0	0	0	0	0	2
1135_9540	0	0	0	0	0	0	1	0	1	0	2	2
1135_9964	1	0	2	0	0	0	2	1	1	0	2	1
1135_10388	2	0	1	0	0	2	1	2	0	0	3	1
1135_10812	0	0	0	0	0	0	3	1	0	0	1	1
1135_11236	0	0	0	0	0	0	0	0	0	0	0	2
1589_1060	0	0	0	0	0	0	0	0	0	9	0	1
1589_1484	1	0	1	0	0	0	0	0	0	19	0	0
1589_1908	4	0	1	0	0	0	0	0	0	12	0	0
1589_2332	1	0	1	0	0	0	0	0	0	16	0	0
1589_2756	6	0	1	0	0	0	0	0	0	25	0	0
1589_3180	0	0	0	0	0	0	0	0	0	2	0	0
1589_3604	1	0	0	0	0	0	0	0	0	1	0	0
1589_4028	0	0	1	0	0	0	0	0	0	0	0	0
1589_4452	0	0	0	1	0	0	0	0	0	0	0	0
1589_4876	0	0	0	0	0	1	0	0	0	18	0	0
1589_5300	0	0	1	0	0	1	0	0	1	16	0	2
1589_5724	0	0	0	0	0	0	0	0	0	1	0	4
1589_7420	0	0	0	0	0	0	0	0	0	0	1	0
1589_8692	0	4	1	2	0	0	3	0	0	2	0	0
1589_9116	1	5	0	8	0	1	9	5	0	3	3	1
1589_9540	0	9	0	10	0	0	3	3	0	1	2	0
1589_9964	0	7	0	6	0	1	0	2	0	3	1	0
1589_10388	2	4	2	8	0	0	0	2	0	0	2	0
1589_10812	0	2	1	3	0	1	2	3	0	1	1	0
1589_11236	1	2	3	9	0	0	0	1	0	1	3	1
1589_11660	0	5	1	2	0	0	3	1	0	2	2	1
1589_12084	0	2	1	5	0	2	5	0	0	1	2	1
1589_12508	1	2	0	0	0	0	0	2	0	0	0	3
2043_1060	0	0	0	0	0	0	0	0	0	1	0	2
2043_1484	2	0	0	0	0	0	0	0	0	17	0	3
2043_1908	0	0	0	0	0	0	0	0	0	17	0	0
2043_2332	1	0	0	1	0	0	1	0	0	13	0	4
2043_2756	0	0	1	2	0	0	0	0	0	35	0	0
2043_3180	0	0	0	0	0	0	0	0	0	1	0	0
2043_4876	2	0	0	0	0	0	0	0	0	15	0	0
2043_5300	1	0	2	0	0	0	0	0	0	13	2	0
2043_5724	0	0	1	0	0	1	0	0	0	2	1	4
2043_7420	0	0	0	0	0	1	1	0	0	0	1	6
2043_8692	2	7	3	7	0	0	0	2	0	1	2	0
2043_9116	1	9	1	9	0	0	2	3	0	5	4	1
2043_9540	0	8	1	7	0	0	0	2	0	0	3	0
2043_9964	0	5	0	9	0	0	0	4	0	0	3	0
2043_10388	0	6	0	0	0	0	0	2	0	0	0	0
2043_10812	0	6	2	7	0	1	0	1	0	2	2	0
2043_11236	0	1	2	3	0	0	0	2	0	1	2	0
2043_11660	0	5	0	7	0	0	0	1	0	0	0	0
2043_12084	0	8	1	10	0	0	0	2	0	2	2	0
2043_12508	1	5	4	10	0	0	1	2	0	1	5	0
2043_12932	1	3	0	2	0	0	0	0	1	1	3	1
2043_13356	0	2	0	1	0	3	1	0	0	0	2	1
2043_13780	0	0	0	0	0	0	0	0	0	0	0	1
2497_1060	0	0	0	0	0	1	2	0	1	10	0	3
2497_1484	0	0	0	0	0	0	3	0	0	7	0	9
2497_1908	0	0	0	0	0	2	1	0	2	18	2	8
2497_2332	0	0	1	1	0	1	0	2	0	10	0	6
2497_2756	4	0	2	2	0	0	0	0	0	19	0	0
2497_4876	0	0	1	1	0	0	0	0	0	14	0	0
2497_5300	0	0	1	0	0	0	0	0	0	20	2	0
2497_5724	0	0	0	0	0	0	0	0	1	3	0	3
2497_7420	0	0	0	0	0	0	0	0	0	0	0	1
2497_8692	0	5	5	10	0	0	0	0	0	0	4	0
2497_9116	1	9	0	13	0	0	0	2	0	0	2	1
2497_9540	0	5	1	12	0	0	0	0	0	0	0	0
