cell	bio_celltype
cell_5	(8) Fibroblast-like (outflow tract & valve related)
cell_6	(2) Fribroblast-like (AV mesenchyme related)
cell_10	(5) Smooth muscle cells/ fibroblast-like
cell_13	(5) Smooth muscle cells/ fibroblast-like
cell_14	(5) Smooth muscle cells/ fibroblast-like
cell_15	(2) Fribroblast-like (AV mesenchyme related)
cell_16	(3) Subepicardial cells
cell_17	(2) Fribroblast-like (AV mesenchyme related)
cell_19	(14) Cells related to cardiac neural crest
cell_20	(2) Fribroblast-like (AV mesenchyme related)
cell_21	(2) Fribroblast-like (AV mesenchyme related)
cell_22	(2) Fribroblast-like (AV mesenchyme related)
cell_23	(2) Fribroblast-like (AV mesenchyme related)
cell_24	(2) Fribroblast-like (AV mesenchyme related)
cell_25	(2) Fribroblast-like (AV mesenchyme related)
cell_27	(5) Smooth muscle cells/ fibroblast-like
cell_28	(2) Fribroblast-like (AV mesenchyme related)
cell_29	(3) Subepicardial cells
cell_30	(3) Subepicardial cells
cell_31	(2) Fribroblast-like (AV mesenchyme related)
cell_32	(5) Smooth muscle cells/ fibroblast-like
cell_33	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_34	(0) Capillary endothelium
cell_35	(3) Subepicardial cells
cell_36	(5) Smooth muscle cells/ fibroblast-like
cell_38	(5) Smooth muscle cells/ fibroblast-like
cell_39	(5) Smooth muscle cells/ fibroblast-like
cell_40	(5) Smooth muscle cells/ fibroblast-like
cell_41	(5) Smooth muscle cells/ fibroblast-like
cell_42	(5) Smooth muscle cells/ fibroblast-like
cell_43	(3) Subepicardial cells
cell_44	(5) Smooth muscle cells/ fibroblast-like
cell_45	(2) Fribroblast-like (AV mesenchyme related)
cell_46	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_47	(3) Subepicardial cells
cell_49	(8) Fibroblast-like (outflow tract & valve related)
cell_50	(5) Smooth muscle cells/ fibroblast-like
cell_53	(5) Smooth muscle cells/ fibroblast-like
cell_54	(2) Fribroblast-like (AV mesenchyme related)
cell_55	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_56	(5) Smooth muscle cells/ fibroblast-like
cell_57	(2) Fribroblast-like (AV mesenchyme related)
cell_58	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_60	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_61	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_62	(8) Fibroblast-like (outflow tract & valve related)
cell_63	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_64	(2) Fribroblast-like (AV mesenchyme related)
cell_69	(3) Subepicardial cells
cell_70	(3) Subepicardial cells
cell_72	(5) Smooth muscle cells/ fibroblast-like
cell_73	(5) Smooth muscle cells/ fibroblast-like
cell_74	(2) Fribroblast-like (AV mesenchyme related)
cell_76	(2) Fribroblast-like (AV mesenchyme related)
cell_78	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_79	(8) Fibroblast-like (outflow tract & valve related)
cell_80	(8) Fibroblast-like (outflow tract & valve related)
cell_81	(8) Fibroblast-like (outflow tract & valve related)
cell_82	(2) Fribroblast-like (AV mesenchyme related)
cell_85	(8) Fibroblast-like (outflow tract & valve related)
cell_86	(2) Fribroblast-like (AV mesenchyme related)
cell_87	(2) Fribroblast-like (AV mesenchyme related)
cell_88	(2) Fribroblast-like (AV mesenchyme related)
cell_89	(2) Fribroblast-like (AV mesenchyme related)
cell_92	(8) Fibroblast-like (outflow tract & valve related)
cell_94	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_97	(8) Fibroblast-like (outflow tract & valve related)
cell_99	(5) Smooth muscle cells/ fibroblast-like
cell_101	(5) Smooth muscle cells/ fibroblast-like
cell_104	(2) Fribroblast-like (AV mesenchyme related)
cell_105	(5) Smooth muscle cells/ fibroblast-like
cell_106	(5) Smooth muscle cells/ fibroblast-like
cell_107	(3) Subepicardial cells
cell_108	(5) Smooth muscle cells/ fibroblast-like
cell_109	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_110	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_111	(8) Fibroblast-like (outflow tract & valve related)
cell_112	(8) Fibroblast-like (outflow tract & valve related)
cell_114	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_115	(5) Smooth muscle cells/ fibroblast-like
cell_116	(5) Smooth muscle cells/ fibroblast-like
cell_117	(2) Fribroblast-like (AV mesenchyme related)
cell_118	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_119	(5) Smooth muscle cells/ fibroblast-like
cell_120	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_121	(2) Fribroblast-like (AV mesenchyme related)
cell_123	(4) Fribroblast-like (coronary & mediastinal vasculature related)
