cell	bio_celltype
5	(8) Fibroblast-like (outflow tract & valve related)
6	(2) Fribroblast-like (AV mesenchyme related)
10	(5) Smooth muscle cells/ fibroblast-like
13	(5) Smooth muscle cells/ fibroblast-like
14	(5) Smooth muscle cells/ fibroblast-like
15	(2) Fribroblast-like (AV mesenchyme related)
16	(3) Subepicardial cells
17	(2) Fribroblast-like (AV mesenchyme related)
19	(14) Cells related to cardiac neural crest
20	(2) Fribroblast-like (AV mesenchyme related)
21	(2) Fribroblast-like (AV mesenchyme related)
22	(2) Fribroblast-like (AV mesenchyme related)
23	(2) Fribroblast-like (AV mesenchyme related)
24	(2) Fribroblast-like (AV mesenchyme related)
25	(2) Fribroblast-like (AV mesenchyme related)
27	(5) Smooth muscle cells/ fibroblast-like
28	(2) Fribroblast-like (AV mesenchyme related)
29	(3) Subepicardial cells
30	(3) Subepicardial cells
31	(2) Fribroblast-like (AV mesenchyme related)
32	(5) Smooth muscle cells/ fibroblast-like
33	(4) Fribroblast-like (coronary & mediastinal vasculature related)
34	(0) Capillary endothelium
35	(3) Subepicardial cells
36	(5) Smooth muscle cells/ fibroblast-like
38	(5) Smooth muscle cells/ fibroblast-like
39	(5) Smooth muscle cells/ fibroblast-like
40	(5) Smooth muscle cells/ fibroblast-like
41	(5) Smooth muscle cells/ fibroblast-like
42	(5) Smooth muscle cells/ fibroblast-like
43	(3) Subepicardial cells
44	(5) Smooth muscle cells/ fibroblast-like
45	(2) Fribroblast-like (AV mesenchyme related)
46	(4) Fribroblast-like (coronary & mediastinal vasculature related)
47	(3) Subepicardial cells
49	(8) Fibroblast-like (outflow tract & valve related)
50	(5) Smooth muscle cells/ fibroblast-like
53	(5) Smooth muscle cells/ fibroblast-like
54	(2) Fribroblast-like (AV mesenchyme related)
55	(4) Fribroblast-like (coronary & mediastinal vasculature related)
56	(5) Smooth muscle cells/ fibroblast-like
57	(2) Fribroblast-like (AV mesenchyme related)
58	(4) Fribroblast-like (coronary & mediastinal vasculature related)
60	(4) Fribroblast-like (coronary & mediastinal vasculature related)
61	(4) Fribroblast-like (coronary & mediastinal vasculature related)
62	(8) Fibroblast-like (outflow tract & valve related)
63	(4) Fribroblast-like (coronary & mediastinal vasculature related)
64	(2) Fribroblast-like (AV mesenchyme related)
69	(3) Subepicardial cells
70	(3) Subepicardial cells
72	(5) Smooth muscle cells/ fibroblast-like
73	(5) Smooth muscle cells/ fibroblast-like
74	(2) Fribroblast-like (AV mesenchyme related)
76	(2) Fribroblast-like (AV mesenchyme related)
78	(4) Fribroblast-like (coronary & mediastinal vasculature related)
79	(8) Fibroblast-like (outflow tract & valve related)
80	(8) Fibroblast-like (outflow tract & valve related)
81	(8) Fibroblast-like (outflow tract & valve related)
82	(2) Fribroblast-like (AV mesenchyme related)
85	(8) Fibroblast-like (outflow tract & valve related)
86	(2) Fribroblast-like (AV mesenchyme related)
87	(2) Fribroblast-like (AV mesenchyme related)
88	(2) Fribroblast-like (AV mesenchyme related)
89	(2) Fribroblast-like (AV mesenchyme related)
92	(8) Fibroblast-like (outflow tract & valve related)
94	(4) Fribroblast-like (coronary & mediastinal vasculature related)
97	(8) Fibroblast-like (outflow tract & valve related)
99	(5) Smooth muscle cells/ fibroblast-like
101	(5) Smooth muscle cells/ fibroblast-like
104	(2) Fribroblast-like (AV mesenchyme related)
105	(5) Smooth muscle cells/ fibroblast-like
106	(5) Smooth muscle cells/ fibroblast-like
107	(3) Subepicardial cells
108	(5) Smooth muscle cells/ fibroblast-like
109	(4) Fribroblast-like (coronary & mediastinal vasculature related)
110	(4) Fribroblast-like (coronary & mediastinal vasculature related)
111	(8) Fibroblast-like (outflow tract & valve related)
112	(8) Fibroblast-like (outflow tract & valve related)
114	(4) Fribroblast-like (coronary & mediastinal vasculature related)
115	(5) Smooth muscle cells/ fibroblast-like
116	(5) Smooth muscle cells/ fibroblast-like
117	(2) Fribroblast-like (AV mesenchyme related)
118	(4) Fribroblast-like (coronary & mediastinal vasculature related)
119	(5) Smooth muscle cells/ fibroblast-like
120	(4) Fribroblast-like (coronary & mediastinal vasculature related)
121	(2) Fribroblast-like (AV mesenchyme related)
123	(4) Fribroblast-like (coronary & mediastinal vasculature related)
124	(3) Subepicardial cells
125	(5) Smooth muscle cells/ fibroblast-like
126	(5) Smooth muscle cells/ fibroblast-like
127	(2) Fribroblast-like (AV mesenchyme related)
128	(14) Cells related to cardiac neural crest
129	(4) Fribroblast-like (coronary & mediastinal vasculature related)
130	(3) Subepicardial cells
131	(4) Fribroblast-like (coronary & mediastinal vasculature related)
132	(3) Subepicardial cells
134	(5) Smooth muscle cells/ fibroblast-like
135	(5) Smooth muscle cells/ fibroblast-like
137	(5) Smooth muscle cells/ fibroblast-like
138	(5) Smooth muscle cells/ fibroblast-like
139	(5) Smooth muscle cells/ fibroblast-like
140	(2) Fribroblast-like (AV mesenchyme related)
142	(5) Smooth muscle cells/ fibroblast-like
143	(5) Smooth muscle cells/ fibroblast-like
144	(2) Fribroblast-like (AV mesenchyme related)
145	(2) Fribroblast-like (AV mesenchyme related)
146	(2) Fribroblast-like (AV mesenchyme related)
147	(2) Fribroblast-like (AV mesenchyme related)
148	(8) Fibroblast-like (outflow tract & valve related)
149	(3) Subepicardial cells
150	(4) Fribroblast-like (coronary & mediastinal vasculature related)
151	(10) Endothelium/ pericytes/ adventia
152	(8) Fibroblast-like (outflow tract & valve related)
153	(5) Smooth muscle cells/ fibroblast-like
154	(4) Fribroblast-like (coronary & mediastinal vasculature related)
155	(5) Smooth muscle cells/ fibroblast-like
158	(8) Fibroblast-like (outflow tract & valve related)
159	(3) Subepicardial cells
160	(2) Fribroblast-like (AV mesenchyme related)
161	(5) Smooth muscle cells/ fibroblast-like
162	(5) Smooth muscle cells/ fibroblast-like
163	(5) Smooth muscle cells/ fibroblast-like
164	(5) Smooth muscle cells/ fibroblast-like
165	(5) Smooth muscle cells/ fibroblast-like
166	(0) Capillary endothelium
168	(5) Smooth muscle cells/ fibroblast-like
169	(2) Fribroblast-like (AV mesenchyme related)
171	(5) Smooth muscle cells/ fibroblast-like
172	(4) Fribroblast-like (coronary & mediastinal vasculature related)
173	(2) Fribroblast-like (AV mesenchyme related)
174	(5) Smooth muscle cells/ fibroblast-like
175	(5) Smooth muscle cells/ fibroblast-like
176	(5) Smooth muscle cells/ fibroblast-like
177	(5) Smooth muscle cells/ fibroblast-like
178	(3) Subepicardial cells
180	(5) Smooth muscle cells/ fibroblast-like
182	(5) Smooth muscle cells/ fibroblast-like
183	(4) Fribroblast-like (coronary & mediastinal vasculature related)
184	(5) Smooth muscle cells/ fibroblast-like
185	(5) Smooth muscle cells/ fibroblast-like
186	(5) Smooth muscle cells/ fibroblast-like
187	(5) Smooth muscle cells/ fibroblast-like
188	(5) Smooth muscle cells/ fibroblast-like
189	(5) Smooth muscle cells/ fibroblast-like
190	(5) Smooth muscle cells/ fibroblast-like
191	(0) Capillary endothelium
192	(3) Subepicardial cells
193	(0) Capillary endothelium
194	(5) Smooth muscle cells/ fibroblast-like
195	(5) Smooth muscle cells/ fibroblast-like
196	(2) Fribroblast-like (AV mesenchyme related)
197	(4) Fribroblast-like (coronary & mediastinal vasculature related)
199	(4) Fribroblast-like (coronary & mediastinal vasculature related)
201	(5) Smooth muscle cells/ fibroblast-like
202	(2) Fribroblast-like (AV mesenchyme related)
203	(4) Fribroblast-like (coronary & mediastinal vasculature related)
204	(2) Fribroblast-like (AV mesenchyme related)
206	(5) Smooth muscle cells/ fibroblast-like
207	(4) Fribroblast-like (coronary & mediastinal vasculature related)
208	(5) Smooth muscle cells/ fibroblast-like
209	(0) Capillary endothelium
210	(5) Smooth muscle cells/ fibroblast-like
212	(2) Fribroblast-like (AV mesenchyme related)
213	(5) Smooth muscle cells/ fibroblast-like
214	(3) Subepicardial cells
215	(8) Fibroblast-like (outflow tract & valve related)
216	(3) Subepicardial cells
217	(5) Smooth muscle cells/ fibroblast-like
218	(2) Fribroblast-like (AV mesenchyme related)
219	(3) Subepicardial cells
220	(4) Fribroblast-like (coronary & mediastinal vasculature related)
221	(5) Smooth muscle cells/ fibroblast-like
222	(3) Subepicardial cells
223	(2) Fribroblast-like (AV mesenchyme related)
224	(5) Smooth muscle cells/ fibroblast-like
225	(5) Smooth muscle cells/ fibroblast-like
226	(4) Fribroblast-like (coronary & mediastinal vasculature related)
227	(3) Subepicardial cells
228	(5) Smooth muscle cells/ fibroblast-like
229	(2) Fribroblast-like (AV mesenchyme related)
230	(10) Endothelium/ pericytes/ adventia
231	(3) Subepicardial cells
232	(4) Fribroblast-like (coronary & mediastinal vasculature related)
234	(5) Smooth muscle cells/ fibroblast-like
236	(8) Fibroblast-like (outflow tract & valve related)
237	(5) Smooth muscle cells/ fibroblast-like
238	(5) Smooth muscle cells/ fibroblast-like
239	(5) Smooth muscle cells/ fibroblast-like
240	(8) Fibroblast-like (outflow tract & valve related)
241	(5) Smooth muscle cells/ fibroblast-like
242	(5) Smooth muscle cells/ fibroblast-like
243	(3) Subepicardial cells
244	(0) Capillary endothelium
245	(8) Fibroblast-like (outflow tract & valve related)
246	(5) Smooth muscle cells/ fibroblast-like
247	(5) Smooth muscle cells/ fibroblast-like
248	(8) Fibroblast-like (outflow tract & valve related)
249	(2) Fribroblast-like (AV mesenchyme related)
250	(10) Endothelium/ pericytes/ adventia
251	(14) Cells related to cardiac neural crest
252	(5) Smooth muscle cells/ fibroblast-like
253	(10) Endothelium/ pericytes/ adventia
254	(3) Subepicardial cells
255	(5) Smooth muscle cells/ fibroblast-like
256	(4) Fribroblast-like (coronary & mediastinal vasculature related)
257	(2) Fribroblast-like (AV mesenchyme related)
258	(2) Fribroblast-like (AV mesenchyme related)
259	(5) Smooth muscle cells/ fibroblast-like
260	(5) Smooth muscle cells/ fibroblast-like
261	(0) Capillary endothelium
262	(5) Smooth muscle cells/ fibroblast-like
263	(4) Fribroblast-like (coronary & mediastinal vasculature related)
264	(5) Smooth muscle cells/ fibroblast-like
265	(10) Endothelium/ pericytes/ adventia
266	(5) Smooth muscle cells/ fibroblast-like
267	(4) Fribroblast-like (coronary & mediastinal vasculature related)
268	(5) Smooth muscle cells/ fibroblast-like
269	(5) Smooth muscle cells/ fibroblast-like
270	(5) Smooth muscle cells/ fibroblast-like
271	(5) Smooth muscle cells/ fibroblast-like
272	(5) Smooth muscle cells/ fibroblast-like
273	(5) Smooth muscle cells/ fibroblast-like
274	(5) Smooth muscle cells/ fibroblast-like
275	(3) Subepicardial cells
276	(3) Subepicardial cells
277	(5) Smooth muscle cells/ fibroblast-like
278	(3) Subepicardial cells
279	(5) Smooth muscle cells/ fibroblast-like
280	(3) Subepicardial cells
281	(2) Fribroblast-like (AV mesenchyme related)
282	(3) Subepicardial cells
283	(5) Smooth muscle cells/ fibroblast-like
284	(5) Smooth muscle cells/ fibroblast-like
285	(5) Smooth muscle cells/ fibroblast-like
286	(5) Smooth muscle cells/ fibroblast-like
287	(3) Subepicardial cells
288	(5) Smooth muscle cells/ fibroblast-like
289	(3) Subepicardial cells
290	(5) Smooth muscle cells/ fibroblast-like
291	(5) Smooth muscle cells/ fibroblast-like
292	(5) Smooth muscle cells/ fibroblast-like
293	(5) Smooth muscle cells/ fibroblast-like
294	(5) Smooth muscle cells/ fibroblast-like
295	(5) Smooth muscle cells/ fibroblast-like
296	(5) Smooth muscle cells/ fibroblast-like
297	(4) Fribroblast-like (coronary & mediastinal vasculature related)
298	(3) Subepicardial cells
300	(5) Smooth muscle cells/ fibroblast-like
301	(5) Smooth muscle cells/ fibroblast-like
302	(5) Smooth muscle cells/ fibroblast-like
303	(3) Subepicardial cells
304	(5) Smooth muscle cells/ fibroblast-like
305	(3) Subepicardial cells
306	(2) Fribroblast-like (AV mesenchyme related)
307	(5) Smooth muscle cells/ fibroblast-like
308	(3) Subepicardial cells
309	(5) Smooth muscle cells/ fibroblast-like
311	(5) Smooth muscle cells/ fibroblast-like
313	(3) Subepicardial cells
314	(3) Subepicardial cells
315	(2) Fribroblast-like (AV mesenchyme related)
316	(5) Smooth muscle cells/ fibroblast-like
317	(5) Smooth muscle cells/ fibroblast-like
318	(5) Smooth muscle cells/ fibroblast-like
319	(2) Fribroblast-like (AV mesenchyme related)
320	(5) Smooth muscle cells/ fibroblast-like
321	(3) Subepicardial cells
323	(2) Fribroblast-like (AV mesenchyme related)
324	(5) Smooth muscle cells/ fibroblast-like
325	(5) Smooth muscle cells/ fibroblast-like
326	(5) Smooth muscle cells/ fibroblast-like
327	(3) Subepicardial cells
328	(3) Subepicardial cells
329	(2) Fribroblast-like (AV mesenchyme related)
330	(5) Smooth muscle cells/ fibroblast-like
331	(5) Smooth muscle cells/ fibroblast-like
332	(5) Smooth muscle cells/ fibroblast-like
333	(5) Smooth muscle cells/ fibroblast-like
334	(5) Smooth muscle cells/ fibroblast-like
335	(5) Smooth muscle cells/ fibroblast-like
336	(5) Smooth muscle cells/ fibroblast-like
337	(3) Subepicardial cells
338	(5) Smooth muscle cells/ fibroblast-like
339	(2) Fribroblast-like (AV mesenchyme related)
340	(2) Fribroblast-like (AV mesenchyme related)
341	(3) Subepicardial cells
342	(2) Fribroblast-like (AV mesenchyme related)
343	(5) Smooth muscle cells/ fibroblast-like
345	(2) Fribroblast-like (AV mesenchyme related)
347	(5) Smooth muscle cells/ fibroblast-like
348	(5) Smooth muscle cells/ fibroblast-like
349	(5) Smooth muscle cells/ fibroblast-like
350	(5) Smooth muscle cells/ fibroblast-like
351	(5) Smooth muscle cells/ fibroblast-like
352	(3) Subepicardial cells
353	(4) Fribroblast-like (coronary & mediastinal vasculature related)
354	(5) Smooth muscle cells/ fibroblast-like
355	(4) Fribroblast-like (coronary & mediastinal vasculature related)
356	(5) Smooth muscle cells/ fibroblast-like
357	(5) Smooth muscle cells/ fibroblast-like
358	(3) Subepicardial cells
359	(8) Fibroblast-like (outflow tract & valve related)
360	(14) Cells related to cardiac neural crest
361	(5) Smooth muscle cells/ fibroblast-like
362	(8) Fibroblast-like (outflow tract & valve related)
363	(2) Fribroblast-like (AV mesenchyme related)
364	(5) Smooth muscle cells/ fibroblast-like
365	(5) Smooth muscle cells/ fibroblast-like
366	(5) Smooth muscle cells/ fibroblast-like
367	(2) Fribroblast-like (AV mesenchyme related)
368	(3) Subepicardial cells
369	(5) Smooth muscle cells/ fibroblast-like
370	(5) Smooth muscle cells/ fibroblast-like
371	(5) Smooth muscle cells/ fibroblast-like
372	(10) Endothelium/ pericytes/ adventia
373	(4) Fribroblast-like (coronary & mediastinal vasculature related)
374	(8) Fibroblast-like (outflow tract & valve related)
375	(5) Smooth muscle cells/ fibroblast-like
376	(5) Smooth muscle cells/ fibroblast-like
377	(2) Fribroblast-like (AV mesenchyme related)
378	(3) Subepicardial cells
379	(8) Fibroblast-like (outflow tract & valve related)
382	(3) Subepicardial cells
383	(5) Smooth muscle cells/ fibroblast-like
385	(2) Fribroblast-like (AV mesenchyme related)
386	(2) Fribroblast-like (AV mesenchyme related)
387	(10) Endothelium/ pericytes/ adventia
388	(5) Smooth muscle cells/ fibroblast-like
390	(5) Smooth muscle cells/ fibroblast-like
391	(5) Smooth muscle cells/ fibroblast-like
392	(3) Subepicardial cells
393	(2) Fribroblast-like (AV mesenchyme related)
394	(3) Subepicardial cells
395	(5) Smooth muscle cells/ fibroblast-like
396	(4) Fribroblast-like (coronary & mediastinal vasculature related)
397	(4) Fribroblast-like (coronary & mediastinal vasculature related)
398	(2) Fribroblast-like (AV mesenchyme related)
399	(14) Cells related to cardiac neural crest
400	(14) Cells related to cardiac neural crest
401	(5) Smooth muscle cells/ fibroblast-like
402	(14) Cells related to cardiac neural crest
403	(4) Fribroblast-like (coronary & mediastinal vasculature related)
404	(8) Fibroblast-like (outflow tract & valve related)
405	(2) Fribroblast-like (AV mesenchyme related)
406	(2) Fribroblast-like (AV mesenchyme related)
407	(3) Subepicardial cells
408	(5) Smooth muscle cells/ fibroblast-like
409	(2) Fribroblast-like (AV mesenchyme related)
410	(14) Cells related to cardiac neural crest
411	(5) Smooth muscle cells/ fibroblast-like
412	(5) Smooth muscle cells/ fibroblast-like
413	(8) Fibroblast-like (outflow tract & valve related)
415	(14) Cells related to cardiac neural crest
416	(5) Smooth muscle cells/ fibroblast-like
417	(4) Fribroblast-like (coronary & mediastinal vasculature related)
418	(3) Subepicardial cells
421	(14) Cells related to cardiac neural crest
422	(3) Subepicardial cells
423	(8) Fibroblast-like (outflow tract & valve related)
424	(5) Smooth muscle cells/ fibroblast-like
425	(5) Smooth muscle cells/ fibroblast-like
426	(2) Fribroblast-like (AV mesenchyme related)
428	(0) Capillary endothelium
429	(2) Fribroblast-like (AV mesenchyme related)
430	(8) Fibroblast-like (outflow tract & valve related)
431	(3) Subepicardial cells
432	(9) Epicardial cells
433	(5) Smooth muscle cells/ fibroblast-like
434	(5) Smooth muscle cells/ fibroblast-like
435	(5) Smooth muscle cells/ fibroblast-like
436	(8) Fibroblast-like (outflow tract & valve related)
437	(5) Smooth muscle cells/ fibroblast-like
438	(2) Fribroblast-like (AV mesenchyme related)
439	(2) Fribroblast-like (AV mesenchyme related)
440	(2) Fribroblast-like (AV mesenchyme related)
441	(5) Smooth muscle cells/ fibroblast-like
442	(2) Fribroblast-like (AV mesenchyme related)
443	(5) Smooth muscle cells/ fibroblast-like
445	(2) Fribroblast-like (AV mesenchyme related)
446	(5) Smooth muscle cells/ fibroblast-like
447	(5) Smooth muscle cells/ fibroblast-like
448	(5) Smooth muscle cells/ fibroblast-like
449	(5) Smooth muscle cells/ fibroblast-like
450	(2) Fribroblast-like (AV mesenchyme related)
451	(5) Smooth muscle cells/ fibroblast-like
452	(5) Smooth muscle cells/ fibroblast-like
453	(5) Smooth muscle cells/ fibroblast-like
454	(5) Smooth muscle cells/ fibroblast-like
455	(5) Smooth muscle cells/ fibroblast-like
457	(3) Subepicardial cells
458	(5) Smooth muscle cells/ fibroblast-like
459	(3) Subepicardial cells
461	(5) Smooth muscle cells/ fibroblast-like
462	(2) Fribroblast-like (AV mesenchyme related)
463	(2) Fribroblast-like (AV mesenchyme related)
464	(5) Smooth muscle cells/ fibroblast-like
465	(5) Smooth muscle cells/ fibroblast-like
466	(4) Fribroblast-like (coronary & mediastinal vasculature related)
467	(5) Smooth muscle cells/ fibroblast-like
468	(5) Smooth muscle cells/ fibroblast-like
470	(8) Fibroblast-like (outflow tract & valve related)
471	(5) Smooth muscle cells/ fibroblast-like
472	(2) Fribroblast-like (AV mesenchyme related)
473	(2) Fribroblast-like (AV mesenchyme related)
